20200501,1,43,
20200502,2,28,
20200503,3,53,
20200504,1,87,
20200505,2,58,
20200506,2,46,
20200507,1,36,
20200508,1,53,
20200509,14,74,
20200510,17,24,
20200511,1,27,
20200512,7,18,
20200513,3,6,
20200514,4,14,
20200515,8,10,
20200516,5,8,
20200517,7,11,
20200518,6,3,
20200519,5,3,
20200520,2,5,
20200521,4,6,
20200522,0,3,
20200523,3,3,
20200524,11,7,
20200525,7,9,
20200526,1,3,
20200527,2,8,
20200528,0,3,
20200529,4,11,
20200530,2,2,
20200531,16,3,
20200601,5,8,
20200602,1,1,
20200603,1,5,
20200604,5,8,
20200605,3,2,
20200606,6,3,
20200607,4,9,
20200608,3,10,
20200609,3,6,
20200610,11,4,
20200611,7,4,
20200612,11,2,
20200613,57,2,
20200614,49,1,
20200615,40,7,
20200616,44,2,
20200617,28,15,
20200618,32,4,
20200619,27,12,
20200620,26,3,
20200621,18,144,
20200622,22,12,
20200623,12,3,
20200624,19,5,
20200625,13,6,
20200626,21,5,
20200627,17,7,
20200628,12,9,
20200629,19,9,
20200630,3,10,
20200701,3,8,
20200702,5,12,
20200703,3,10,
20200704,8,7,
20200705,4,2,
20200706,8,10,
20200707,7,20,
20200708,9,42,
20200709,4,19,
20200710,2,14,
20200711,7,11,
20200712,8,14,
20200713,3,26,
20200714,6,19,
20200715,1,26,
20200716,10,18,
20200717,22,21,
20200718,16,17,
20200719,22,24,
20200720,11,18,
20200721,14,23,
20200722,22,15,
20200723,21,18,
20200724,34,16,
20200725,46,19,
20200726,61,10,
20200727,68,16,
20200728,101,10,
20200729,105,13,
20200730,127,17,
20200731,45,15,
20200801,49,14,
20200802,43,10,
20200803,36,17,
20200804,27,17,
20200805,37,10,
20200806,37,31,
20200807,31,35,
20200808,23,45,
20200809,49,64,
20200810,44,52,
20200811,25,58,
20200812,19,56,
20200813,30,64,
20200814,22,57,
20200815,19,56,
20200816,22,28,
20200817,22,39,
20200818,17,43,
20200819,7,60,
20200820,22,47,
20200821,22,59,
20200822,12,44,
20200823,16,30,
20200824,14,36,
